Author_Name,Title,Elapsed_Time,Num_Comments,Number_of_Upvotes,Author_Tier,Author_Discussion_Tier,Num_Followers,Discussion_Golds,Discussion_Silvers,Discussion_Bronzes,Current_Discussion_Rank,Highest_Discussion_Rank,Discussion_link
Mohamed Fadl,Machine Learning from scratch,2 years,6,12,Expert,Expert,19,75,2,1,1688,450,https://www.kaggle.com/getting-started/160482
Raju Kumar Mishra,50 mcq on python list to sharpen your knowledge,2 years,6,12,Grandmaster,Grandmaster,361,428,28,51,204,24,https://www.kaggle.com/getting-started/164112
Ruchi Bhatia,Natural Language Processing with Python & nltk,2 years,5,12,Grandmaster,Master,3055,327,37,25,113,44,https://www.kaggle.com/getting-started/164194
Abhishek Shrivastava,Underfitting Vs Just right Vs Overfitting in Machine learning,2 years,4,12,Expert,Expert,27,83,0,0,1606,655,https://www.kaggle.com/getting-started/166897
Divyansh Agrawal,Learn SQL from top resources!,2 years,4,12,Master,Expert,161,136,14,3,767,210,https://www.kaggle.com/getting-started/168403
Abheeshth Mishra,Overfitting,2 years,20,12,Master,Expert,120,128,8,15,448,206,https://www.kaggle.com/getting-started/169574
Rahul Makwana,SQL cheat sheet,2 years,20,12,Expert,Contributor,9,16,1,1,Unranked,Unranked,https://www.kaggle.com/getting-started/170652
Rishav Sharma,30 Magical Python Tricks to Write Better Code,2 years,21,10,Expert,Expert,84,105,1,0,1509,538,https://www.kaggle.com/getting-started/171611
Raju Kumar Mishra,A tutorial on magic methods in Python,2 years,6,12,Grandmaster,Grandmaster,361,428,28,51,204,24,https://www.kaggle.com/getting-started/172119
Mohammad Essam,Some Facts about Data Science,2 years,15,12,Expert,Expert,96,202,20,3,425,116,https://www.kaggle.com/getting-started/172425
Ayush Pandey,Python Tensorflow- Build a Neural Network,2 years,5,12,Expert,Contributor,16,14,3,0,Unranked,Unranked,https://www.kaggle.com/getting-started/172887
Aayush Mishra,Must Study book if you want to get into ML and Data Science,2 years,21,11,Master,Expert,162,131,3,0,1240,313,https://www.kaggle.com/getting-started/175240
Ruchi Bhatia,Recognizing Fake News,2 years,3,12,Grandmaster,Master,3055,327,37,25,113,44,https://www.kaggle.com/getting-started/178290
Moore,Convert Your Photos To Famous Paintings (ready notebook),2 years,11,12,Master,Expert,228,158,15,11,349,155,https://www.kaggle.com/getting-started/180584
shivan kumar,Feature Engineering — deep dive into Encoding and Binning techniques,a year,17,12,Master,Expert,335,186,18,8,491,101,https://www.kaggle.com/getting-started/183076
Heeral Dedhia,Python for Data Science (Tutorial for beginners),a year,18,12,Expert,Expert,120,104,3,6,778,270,https://www.kaggle.com/getting-started/183640
shivan kumar,Data Pre-processing Steps!!,a year,22,12,Master,Expert,335,186,18,8,491,101,https://www.kaggle.com/getting-started/183855
Shivam Bhardwaj,Understanding Linear Regression!!!,a year,28,12,Expert,Expert,7,92,0,1,1609,518,https://www.kaggle.com/getting-started/185145
Mustafa Fatakdawala,Decision Tree - The most underrated algorithms,a year,8,12,Expert,Expert,47,93,7,0,1277,371,https://www.kaggle.com/getting-started/186076
Abhishek Singh,What is BayesSearchCV,a year,8,12,Expert,Contributor,8,22,5,1,Unranked,Unranked,https://www.kaggle.com/getting-started/190095
Shubham Tripathi,How helpful is Kaggle?,a year,42,12,Contributor,Contributor,3,17,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/192135
Rashik Rahman,"Accuracy Battle : Covid with&without Pnumonia, Chest Exray",a year,4,12,Master,Expert,136,89,6,2,704,399,https://www.kaggle.com/getting-started/208340
des.,Top 6 errors beginners make in ML [source: KDnuggets],a year,14,12,Master,Expert,103,641,25,16,53,51,https://www.kaggle.com/getting-started/208514
Abheeshth Mishra,Evaluation Metrics for Classification problems,a year,11,12,Master,Expert,120,128,8,15,448,206,https://www.kaggle.com/getting-started/221303
Pranjal Verma,Deep Learning Interview Questions : #Day1,a year,2,12,Master,Master,137,223,29,32,98,58,https://www.kaggle.com/getting-started/228305
Dhruvil Dave,Image Transformations using PyTorch,a year,4,12,Master,Expert,107,154,8,2,458,303,https://www.kaggle.com/getting-started/228457
Abheeshth Mishra,Evaluation Metrics for Regression problems,a year,7,12,Master,Expert,120,128,8,15,448,206,https://www.kaggle.com/getting-started/228810
Pranjal Verma,Deep Learning Interview Questions : #Day9,a year,0,12,Master,Master,137,223,29,32,98,58,https://www.kaggle.com/getting-started/233031
Mohamed Hany,7 CHARACTERISTICS OF MACHINE LEARNING,a year,10,12,Master,Master,123,580,35,17,60,43,https://www.kaggle.com/getting-started/234072
s_ota,[How to] GCP + Kaggle Docker + VSCode,a year,10,12,Contributor,Contributor,1,1,1,1,Unranked,Unranked,https://www.kaggle.com/getting-started/234090
Mohamed Hany,10 Competitions will make you stronger as a datascientist,8 months,9,12,Master,Master,123,580,35,17,60,43,https://www.kaggle.com/getting-started/249744
Saumya,Different resources for getting into Data Science,8 months,28,12,Expert,Expert,20,52,0,2,1386,921,https://www.kaggle.com/getting-started/253731
Rutu Patel,For your first time on kaggle!! ⏳👨‍💻,7 months,19,12,Contributor,Contributor,4,3,1,0,Unranked,Unranked,https://www.kaggle.com/getting-started/256286
Yogita Darade,Resources on Regularization for beginners.,7 months,20,12,Master,Expert,189,178,3,1,530,338,https://www.kaggle.com/getting-started/263577
Berkay Alan,Data Visualization Tutorials for Beginners | 5 Library 💯✔️,7 months,15,12,Expert,Expert,202,266,35,10,104,88,https://www.kaggle.com/getting-started/264429
KritiDoneria,[Beginner] Five reasons Kaggle Learn section is better than MOST other Data science Certifications,7 months,24,12,Master,Master,253,644,39,32,21,16,https://www.kaggle.com/getting-started/265916
Mohamed Hany,Top 10 Data Science profiles in the industry,6 months,19,12,Master,Master,123,580,35,17,60,43,https://www.kaggle.com/getting-started/271428
Sameer1502,I am finally a Kaggle Notebooks expert !!!,5 months,37,12,Master,Expert,18,87,0,2,836,692,https://www.kaggle.com/getting-started/275024
Pranjal Verma,💥 Resources of the Week : #22,5 months,13,12,Master,Master,137,223,29,32,98,58,https://www.kaggle.com/getting-started/276677
Aditya Kumawat,Top Deep Learning Algorithms,5 months,9,12,Contributor,Contributor,1,4,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/278417
Jehan Bhathena,"100+ free Machine Learning, Data Science and Statistics Books",4 months,12,12,Expert,Expert,23,47,2,7,480,389,https://www.kaggle.com/getting-started/288988
Jehan Bhathena,Free Machine Learning in Trading book,3 months,16,12,Expert,Expert,23,47,2,7,480,389,https://www.kaggle.com/getting-started/291418
Srinidhi,Exploratory Data Analysis (EDA),3 months,9,12,Expert,Expert,21,100,7,2,443,427,https://www.kaggle.com/getting-started/293558
Abir ELTAIEF,How to create your first dataset using web scraping: BeautifulSoup library,3 months,17,12,Expert,Contributor,21,41,2,3,Unranked,Unranked,https://www.kaggle.com/getting-started/294380
Mohamed Hany,Web scraping to start making your own data,3 months,14,12,Master,Master,123,580,35,17,60,43,https://www.kaggle.com/getting-started/295285
Abheeshth Mishra,Brief Intro about Gradient Descent Variants,3 months,5,12,Master,Expert,120,128,8,15,448,206,https://www.kaggle.com/getting-started/295681
Ayush Jain,Machine Learning Model Lifecycle,3 months,19,12,Expert,Expert,8,102,1,2,527,526,https://www.kaggle.com/getting-started/296255
Hetvi Gandhi,All You Need To Know About Data Science | Ecosystem |,2 months,18,12,Contributor,Contributor,12,25,2,1,Unranked,Unranked,https://www.kaggle.com/getting-started/302218
Vikalp Tripathi,10 Steps to Learn Any Machine Learning Algorithm Efficiently,a month,17,12,Contributor,Contributor,6,1,1,1,Unranked,Unranked,https://www.kaggle.com/getting-started/303945
Sanyam Bhutani,JAX 201: Intro to JAX and features overview,19 days,7,12,Master,Master,724,372,44,49,41,41,https://www.kaggle.com/getting-started/308753
Alexander Engelhardt,Can I quit from a competition I entered,9 years,9,11,Contributor,Contributor,1,2,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/4778
TuTruongQuoc,practice machine learning,5 years,5,11,Novice,Novice,0,0,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/25037
ChrisSawtelle,Add your bio?,5 years,81,10,Contributor,Contributor,0,0,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/38678
Gaurav Saxena,New to Kaggle and Machine Learning/Data Mining,4 years,22,11,Novice,Novice,1,1,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/47040
